question_id,topic,concept_name
Q_M_01_001,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_001,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_002,3D Geometry,Shortest distance between two skew lines
Q_M_01_002,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_003,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_004,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_004,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_004,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_005,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_005,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_006,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_006,3D Geometry,Shortest distance between two skew lines
Q_M_01_007,3D Geometry,Image or reflection of a point in a line
Q_M_01_007,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_008,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_008,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_008,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_009,3D Geometry,Line through a point intersecting two given lines
Q_M_01_009,3D Geometry,Shortest distance between two skew lines
Q_M_01_010,3D Geometry,Shortest distance between two skew lines
Q_M_01_010,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_011,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_011,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_011,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_012,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_012,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_013,3D Geometry,Line through a point intersecting two given lines
Q_M_01_013,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_014,3D Geometry,Shortest distance between two skew lines
Q_M_01_014,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_015,3D Geometry,Line-plane intersection point determination
Q_M_01_015,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_015,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_016,3D Geometry,Shortest distance between two skew lines
Q_M_01_016,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_017,3D Geometry,Shortest distance between two skew lines
Q_M_01_017,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_018,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_018,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_019,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_020,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_021,3D Geometry,Line through a point intersecting two given lines
Q_M_01_021,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_022,3D Geometry,Shortest distance between two skew lines
Q_M_01_022,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_023,3D Geometry,Image or reflection of a point in a line
Q_M_01_023,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_024,3D Geometry,Shortest distance between two skew lines
Q_M_01_025,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_025,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_026,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_027,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_027,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_027,3D Geometry,Line-plane intersection point determination
Q_M_01_028,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_028,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_028,3D Geometry,Line-plane intersection point determination
Q_M_01_029,3D Geometry,Line through a point intersecting two given lines
Q_M_01_029,3D Geometry,Shortest distance between two skew lines
Q_M_01_029,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_030,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_031,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_031,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_032,3D Geometry,Image or reflection of a point in a line
Q_M_01_032,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_033,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_033,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_034,3D Geometry,Line through two points in 3D
Q_M_01_034,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_034,3D Geometry,Line-plane intersection point determination
Q_M_01_035,3D Geometry,Shortest distance between two skew lines
Q_M_01_036,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_037,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_037,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_038,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_038,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_039,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_039,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_040,3D Geometry,Shortest distance between two skew lines
Q_M_01_040,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_041,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_041,3D Geometry,Line through two points in 3D
Q_M_01_042,3D Geometry,Shortest distance between two skew lines
Q_M_01_043,3D Geometry,Line through a point intersecting two given lines
