question_id,error_id,error_name,error_type,description
Q_M_15_001,ERR_M_16_004,Product-of-roots vs. sum-of-roots confusion,Procedural error,"After reducing to a quadratic in t = log x, the student computes the product of roots in t-space but forgets to convert back (product of x-values = e^(sum of t-roots) for natural log, not e^(product of t-roots))."
Q_M_15_002,ERR_M_16_006,Squared-argument inequality flip neglect,Conceptual error,"In log_{f(x)}(g(x))² ≥ 0, the student treats (g(x))² as always positive and ignores that the inequality direction reverses when the base is between 0 and 1."
Q_M_15_002,ERR_M_16_002,Domain-blind solving,Setup error,"The student solves the logarithmic equation algebraically but fails to verify that all solutions satisfy base > 0, base ≠ 1, and argument > 0 constraints, reporting extraneous solutions."
Q_M_15_003,ERR_M_16_005,Reciprocal-log substitution blindness,Setup error,"When a problem contains log_a(b) and log_b(a) (or equivalent after factoring), the student fails to recognize these as reciprocals and does not apply the t + 1/t substitution, leaving the equation intractable."
Q_M_15_003,ERR_M_16_002,Domain-blind solving,Setup error,"The student solves the logarithmic equation algebraically but fails to verify that all solutions satisfy base > 0, base ≠ 1, and argument > 0 constraints, reporting extraneous solutions."
Q_M_15_004,ERR_M_16_002,Domain-blind solving,Setup error,"The student solves the logarithmic equation algebraically but fails to verify that all solutions satisfy base > 0, base ≠ 1, and argument > 0 constraints, reporting extraneous solutions."
Q_M_15_005,ERR_M_16_005,Reciprocal-log substitution blindness,Setup error,"When a problem contains log_a(b) and log_b(a) (or equivalent after factoring), the student fails to recognize these as reciprocals and does not apply the t + 1/t substitution, leaving the equation intractable."
Q_M_15_005,ERR_M_16_002,Domain-blind solving,Setup error,"The student solves the logarithmic equation algebraically but fails to verify that all solutions satisfy base > 0, base ≠ 1, and argument > 0 constraints, reporting extraneous solutions."
Q_M_15_006,ERR_M_16_001,Base-unification misstep,Procedural error,"When two logs have different bases (e.g., log₄ and log₂), the student incorrectly converts one base to another, typically confusing log₄(x) = log₂(x)/2 with log₄(x) = 2·log₂(x)."
Q_M_15_006,ERR_M_16_002,Domain-blind solving,Setup error,"The student solves the logarithmic equation algebraically but fails to verify that all solutions satisfy base > 0, base ≠ 1, and argument > 0 constraints, reporting extraneous solutions."
Q_M_15_007,ERR_M_16_003,Symmetry-based overcounting or undercounting,Procedural error,"When counting solutions over [0, 2π], the student either misses solutions at boundary quadrants or double-counts due to absolute value signs, typically getting 4 instead of 8 or vice versa."
Q_M_16_151,ERR_M_17_007,Scalar-multiple determinant confusion,Conceptual error,"The student computes det(kA) as k·det(A) instead of kⁿ·det(A) for an n×n matrix, a persistent error when scalar multiples appear inside nested adjoint expressions."
Q_M_16_151,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_152,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_153,ERR_M_17_005,Eigenvalue-determinant disconnect,Setup error,"The student correctly finds eigenvalues from the characteristic equation but fails to use them to compute det(A) (product of eigenvalues) or trace(A) (sum of eigenvalues), instead attempting to reconstruct the full matrix."
Q_M_16_154,ERR_M_17_003,Homogeneous system conflation with non-homogeneous,Conceptual error,"The student confuses the condition for non-trivial solutions of a homogeneous system (det = 0) with the condition for infinite solutions of a non-homogeneous system (det = 0 AND consistency), or vice versa."
Q_M_16_155,ERR_M_17_007,Scalar-multiple determinant confusion,Conceptual error,"The student computes det(kA) as k·det(A) instead of kⁿ·det(A) for an n×n matrix, a persistent error when scalar multiples appear inside nested adjoint expressions."
