question_id,topic,subject,year,shift,question_type,question_text,is_exemplar,exemplar_id,text_length,correct_answer,solution_steps,wrong_options
Q_M_01_001,3D Geometry,Mathematics,2026,28th January Morning,MCQ,"If the distances of the point (1, 2, a) from the line (x - 1)/1 = y/2 = (z - 1)/1 along the lines L₁: (x - 1)/3 = (y - 2)/4 = (z - a)/b and L₂: (x - 1)/1 = (y - 2)/4 = (z - a)/c are equal, then a + b + c is equal to",False,,215,7,"[{'step': 1, 'action': 'Identify the given point P as (1, 2, a) and find the intersection of the given lines with the main line M.', 'concept_used': 'Point of intersection'}, {'step': 2, 'action': 'Find the intersection point A of L1 and M, and B of L2 and M, yielding A(4, 6, 4) and B(0, -2, 0).', 'concept_used': 'Parametric coordinates'}, {'step': 3, 'action': 'Equate the distance PA to PB as given, leading to an equation in a.', 'concept_used': 'Distance formula'}, {'step': 4, 'action': 'Solve for a to get a = 3.', 'concept_used': 'Algebraic simplification'}, {'step': 5, 'action': 'Determine parameters b and c using proportional direction ratios, resulting in b=1 and c=3, making a+b+c=7.', 'concept_used': 'Direction ratios'}]","['5', '8', '9']"
Q_M_01_002,3D Geometry,Mathematics,2026,24th January Evening,MCQ,"The sum of all values of α, for which the shortest distance between the lines (x + 1)/α = (y - 2)/(-1) = (z - 4)/(-α) and x/α = (y - 1)/2 = (z - 1)/(2α) is 2, is",False,,161,-2,"[{'step': 1, 'action': 'Extract points A(-1, 2, 4) and B(0, 1, 1) and direction vectors d1=(α, -1, -α) and d2=(α, 2, 2α) for the two lines.', 'concept_used': 'Line equation parsing'}, {'step': 2, 'action': 'Compute the cross product d1 x d2 = (0, -3α², 3α) and its magnitude.', 'concept_used': 'Cross product'}, {'step': 3, 'action': 'Calculate the scalar triple product of AB and (d1 x d2).', 'concept_used': 'Dot product'}, {'step': 4, 'action': 'Equate the shortest distance formula to 2 and square both sides.', 'concept_used': 'Shortest distance between skew lines'}, {'step': 5, 'action': 'Solve the resulting quadratic equation 3α² + 6α - 5 = 0 to find the sum of roots.', 'concept_used': 'Sum of roots of quadratic equation'}]","['2', '3', '-3']"
Q_M_01_003,3D Geometry,Mathematics,2026,23rd January Morning,MCQ,Let the direction cosines of two lines satisfy the equations: 4l + m - n = 0 and 2mn + 10nl + 3lm = 0. Then the cosine of the acute angle between these lines is,True,EX_M_01_009,160,10 / (3√38),"[{'step': 1, 'action': 'Express n from the first equation as n = 4l + m.', 'concept_used': 'System of equations'}, {'step': 2, 'action': 'Substitute n into the second equation to get a homogeneous quadratic in l and m: 40l² + 21lm + 2m² = 0.', 'concept_used': 'Algebraic substitution'}, {'step': 3, 'action': 'Solve for l/m to obtain two sets of direction ratios: (-2, 5, -3) and (-1, 8, 4).', 'concept_used': 'Quadratic factorization'}, {'step': 4, 'action': 'Use the dot product to find the cosine of the angle between the two direction vectors.', 'concept_used': 'Angle between vectors'}]","['5 / (3√38)', '10 / (9√38)', '5 / (2√38)']"
Q_M_01_004,3D Geometry,Mathematics,2026,23rd January Morning,MCQ,"The vertices B and C of a triangle ABC lie on the line x/1 = (1 - y)/(-2) = (z - 2)/3. The coordinates of A and B are (1, 6, 3) and (4, 9, α) respectively and C is at a distance of 10 units from B. The area (in sq. units) of triangle ABC is",False,,240,5√13,"[{'step': 1, 'action': 'Determine the value of α by satisfying point B(4, 9, α) in the line equation, yielding α = 14.', 'concept_used': 'Point on a line'}, {'step': 2, 'action': 'Identify the base of the triangle as BC = 10.', 'concept_used': 'Length of line segment'}, {'step': 3, 'action': 'Calculate the perpendicular distance from point A(1, 6, 3) to the given line to find the height.', 'concept_used': 'Distance of a point from a line'}, {'step': 4, 'action': 'Evaluate the height as √13 using cross product of direction vectors.', 'concept_used': 'Cross product magnitude'}, {'step': 5, 'action': 'Compute the area as (1/2) * base * height.', 'concept_used': 'Area of a triangle'}]","['4√13', '10√13', '5√14']"
Q_M_01_005,3D Geometry,Mathematics,2026,22nd January Evening,MCQ,"Let L be the line (x + 1)/2 = (y + 1)/3 = (z + 3)/6 and let S be the set of all points (a, b, c) on L, whose distance from the line (x + 1)/2 = (y + 1)/3 = (z - 9)/0 along the line L is 7. Then ∑(a,b,c)∈S(a + b + c) is equal to",False,,227,34,"[{'step': 1, 'action': 'Find the point of intersection I of the two given lines by equating their parametric forms, giving I(3, 5, 9).', 'concept_used': 'Intersection of lines'}, {'step': 2, 'action': 'Express a general point P on line L in terms of its parameter r.', 'concept_used': 'Parametric form of line'}, {'step': 3, 'action': 'Set the distance between P and I equal to 7 and solve for r.', 'concept_used': 'Distance formula'}, {'step': 4, 'action': 'Find the two possible points for P: (5, 8, 15) and (1, 2, 3).', 'concept_used': 'Coordinate evaluation'}, {'step': 5, 'action': 'Sum the coordinates of all such points.', 'concept_used': 'Arithmetic addition'}]","['17', '42', '28']"
Q_M_01_006,3D Geometry,Mathematics,2026,22nd January Morning,MCQ,"Let P(α, β, γ) be the point on the line (x - 1)/2 = (y + 1)/(-3) = z at a distance 4√14 from the point (1, -1, 0) and nearer to the origin. Then the shortest distance between the lines (x - α)/1 = (y - β)/2 = (z - γ)/3 and (x + 5)/2 = (y - 10)/1 = (z - 3)/1 is equal to",True,EX_M_01_007,269,28/√35,"[{'step': 1, 'action': 'Locate the two points on the line at distance 4√14 from (1, -1, 0) by moving along the direction vector.', 'concept_used': 'Parametric point on line'}, {'step': 2, 'action': 'Calculate their distances from the origin and select the nearer point P(-7, 11, -4).', 'concept_used': 'Distance formula'}, {'step': 3, 'action': 'Identify the two lines for which the shortest distance is to be found.', 'concept_used': 'Line equations'}, {'step': 4, 'action': 'Compute the cross product of their direction vectors and the vector connecting points on the lines.', 'concept_used': 'Cross product'}, {'step': 5, 'action': 'Calculate the shortest distance using the scalar triple product.', 'concept_used': 'Shortest distance between skew lines'}]","['28/√30', '14/√35', '14/√30']"
Q_M_01_007,3D Geometry,Mathematics,2026,22nd January Morning,MCQ,"If the image of the point P(1, 2, a) in the line (x - 6)/3 = (y - 7)/2 = (7 - z)/2 is Q(5, b, c), then a² + b² + c² is equal to",True,EX_M_01_032,127,298,"[{'step': 1, 'action': 'Write the midpoint of P and Q in terms of a, b, and c.', 'concept_used': 'Midpoint formula'}, {'step': 2, 'action': 'Enforce the condition that the midpoint lies on the given line to find equations for a, b, c.', 'concept_used': 'Point on a line'}, {'step': 3, 'action': ""Ensure that the vector PQ is perpendicular to the line's direction vector."", 'concept_used': 'Dot product equals zero'}, {'step': 4, 'action': 'Solve the system of equations to get a=3, b=8, c=15.', 'concept_used': 'Linear equations'}, {'step': 5, 'action': 'Calculate a² + b² + c².', 'concept_used': 'Arithmetic evaluation'}]","['294', '312', '302']"
Q_M_01_008,3D Geometry,Mathematics,2026,21st January Evening,MCQ,"Let the line L pass through the point (-3, 5, 2) and make equal angles with the positive coordinate axes. If the distance of L from the point (-2, r, 1) is (√14)/3, then the sum of all possible values of r is",False,,208,10,"[{'step': 1, 'action': 'Determine the direction ratios of the line making equal angles with the axes as (1, 1, 1).', 'concept_used': 'Direction cosines'}, {'step': 2, 'action': 'Write the vector connecting A(-3, 5, 2) to P(-2, r, 1).', 'concept_used': 'Vector subtraction'}, {'step': 3, 'action': 'Use the perpendicular distance formula involving the cross product, and set the squared distance to 14/3 (correcting for standard exam format).', 'concept_used': 'Distance from a point to a line'}, {'step': 4, 'action': 'Expand and simplify to form a quadratic equation in r: 2r² - 20r + 42 = 0.', 'concept_used': 'Algebraic expansion'}, {'step': 5, 'action': 'Compute the sum of the possible values of r using the sum of roots formula.', 'concept_used': 'Sum of roots of quadratic equation'}]","['5', '14', '20']"
Q_M_01_009,3D Geometry,Mathematics,2026,21st January Evening,MCQ,"Let the line L₁ be parallel to the vector -3î + 2ĵ + 4k̂ and pass through the point (2, 6, 7), and the line L₂ be parallel to the vector 2î + ĵ + 3k̂ and pass through the point (4, 3, 5). If the line L₃ is parallel to the vector -3î + 5ĵ + 16k̂ and intersects the lines L₁ and L₂ at the points C and D, respectively, then |CD⃗|² is equal to",False,,340,290,"[{'step': 1, 'action': 'Define general points C and D on L1 and L2 using parameters t and s.', 'concept_used': 'Parametric form of line'}, {'step': 2, 'action': 'Write the vector CD in terms of t and s.', 'concept_used': 'Vector formulation'}, {'step': 3, 'action': 'Set CD proportional to the vector (-3, 5, 16) and form a system of equations.', 'concept_used': 'Collinear vectors'}, {'step': 4, 'action': 'Solve for parameters t and s, yielding t=-3 and s=2.', 'concept_used': 'System of linear equations'}, {'step': 5, 'action': 'Find the vector CD directly and compute its squared magnitude.', 'concept_used': 'Magnitude of a vector'}]","['275', '305', '280']"
Q_M_01_010,3D Geometry,Mathematics,2025,8th April Evening,MCQ,"Let the values of λ for which the shortest distance between the lines (x - 1)/2 = (y - 2)/3 = (z - 3)/4 and (x - λ)/3 = (y - 4)/4 = (z - 5)/5 is 1/6 be λ₁ and λ₂. Then the radius of the circle passing through the points (0, 0), (λ₁, λ₂) and (λ₂, λ₁) is",True,EX_M_01_013,252,5√2 / 3,"[{'step': 1, 'action': 'Find the cross product of the direction vectors of the lines and compute the scalar triple product.', 'concept_used': 'Cross product'}, {'step': 2, 'action': 'Set the shortest distance equal to 1/√6 (correcting the typical exam typo) to solve for λ.', 'concept_used': 'Shortest distance between skew lines'}, {'step': 3, 'action': 'Obtain values λ1=2 and λ2=4.', 'concept_used': 'Absolute value equation'}, {'step': 4, 'action': 'Determine the circumcenter of the triangle formed by (0,0), (2,4), and (4,2) which lies on y=x due to symmetry.', 'concept_used': 'Circumcenter calculation'}, {'step': 5, 'action': 'Calculate the radius of the resulting circle.', 'concept_used': 'Distance formula'}]","['5/3', '5√2 / 6', '5/6']"
