question_id,node_id,node_name,cognitive_operation,cognitive_demand,reasoning
Q_M_15_001,N_M_16_003,Log-equation-to-polynomial reduction,"Convert a logarithmic equation into a polynomial (usually quadratic) in a substituted variable such as t = log x or t = 2^α, then solve the polynomial and map solutions back while enforcing domain constraints.",Formula with Judgment,"The student must recall log/exponential identities but the main cognitive work is determining which substitution (t = log x, t = 2^α) will reduce the equation to a solvable polynomial — the setup decision is non-trivial but the computation is standard once the substitution is chosen."
Q_M_15_002,N_M_16_001,Log-inequality with variable base,"The student must solve a logarithmic inequality where the base itself contains the variable, requiring case-splitting on whether the base is greater or less than 1, then intersecting solution sets from each case with domain constraints.",Build Then Solve,The primary cognitive load is constructing the case-split framework (base > 1 vs. 0 < base < 1) and determining the domain of the variable base before any algebraic manipulation. The computation within each case is straightforward; the difficulty is in setting up the cases correctly.
Q_M_15_002,N_M_16_005,Domain-constrained solution counting,"The student must determine how many valid solutions exist by simultaneously tracking logarithmic domain restrictions (base > 0, base ≠ 1, argument > 0) and additional constraints from the problem context (e.g., x > 0, interval bounds), then count or enumerate survivors.",Build and Work Backwards,"The student must first set up all domain restrictions (which requires understanding the problem structure), solve the core equation, and then work backwards to eliminate extraneous solutions or enumerate valid ones across intervals — combining forward setup with backward verification."
Q_M_15_003,N_M_16_002,Base-argument entanglement resolution,"When the base and argument of logarithms are algebraically related (e.g., both trigonometric functions or both expressions of x), the student must express everything in a single variable using change-of-base and identities, then simplify a compound expression where base and argument cannot be treated independently.",Build Then Solve,"The student must construct a representation that disentangles base-argument coupling — choosing change-of-base direction, recognizing factorizations, and introducing auxiliary variables — before any meaningful computation can begin. The difficulty is almost entirely in the representation step."
Q_M_15_004,N_M_16_004,Logarithmic pre-processing feeding a downstream problem,"The logarithmic equation is only the first stage; its solution set becomes input to a structurally different problem (here, a quadratic discriminant condition), requiring the student to shift frameworks mid-problem.",Reverse Engineer,The student must synthesize two frameworks never taught together — logarithmic equation solving and quadratic discriminant analysis — and the output of one feeds the input of the other. This requires managing two cognitive schemas simultaneously and transferring intermediate results between them.
Q_M_15_005,N_M_16_003,Log-equation-to-polynomial reduction,"Convert a logarithmic equation into a polynomial (usually quadratic) in a substituted variable such as t = log x or t = 2^α, then solve the polynomial and map solutions back while enforcing domain constraints.",Formula with Judgment,"The student must recall log/exponential identities but the main cognitive work is determining which substitution (t = log x, t = 2^α) will reduce the equation to a solvable polynomial — the setup decision is non-trivial but the computation is standard once the substitution is chosen."
Q_M_15_005,N_M_16_005,Domain-constrained solution counting,"The student must determine how many valid solutions exist by simultaneously tracking logarithmic domain restrictions (base > 0, base ≠ 1, argument > 0) and additional constraints from the problem context (e.g., x > 0, interval bounds), then count or enumerate survivors.",Build and Work Backwards,"The student must first set up all domain restrictions (which requires understanding the problem structure), solve the core equation, and then work backwards to eliminate extraneous solutions or enumerate valid ones across intervals — combining forward setup with backward verification."
Q_M_15_006,N_M_16_003,Log-equation-to-polynomial reduction,"Convert a logarithmic equation into a polynomial (usually quadratic) in a substituted variable such as t = log x or t = 2^α, then solve the polynomial and map solutions back while enforcing domain constraints.",Formula with Judgment,"The student must recall log/exponential identities but the main cognitive work is determining which substitution (t = log x, t = 2^α) will reduce the equation to a solvable polynomial — the setup decision is non-trivial but the computation is standard once the substitution is chosen."
Q_M_15_007,N_M_16_005,Domain-constrained solution counting,"The student must determine how many valid solutions exist by simultaneously tracking logarithmic domain restrictions (base > 0, base ≠ 1, argument > 0) and additional constraints from the problem context (e.g., x > 0, interval bounds), then count or enumerate survivors.",Build and Work Backwards,"The student must first set up all domain restrictions (which requires understanding the problem structure), solve the core equation, and then work backwards to eliminate extraneous solutions or enumerate valid ones across intervals — combining forward setup with backward verification."
Q_M_17_101,N_M_18_013,Minimum Distance Optimization,"The student must set up a distance function between a fixed point (or curve) and a parametric point on the parabola, minimize it using calculus or geometric reasoning (normal foot), and extract the answer.",Build Then Solve,"The student must set up a distance function (or recognize the geometric shortcut via normals), take derivatives or apply geometric reasoning, then solve. The construction of the optimization framework is the main cognitive step."
